CustomerID,Genre,Age,Annual_Income,Spending_Score,Location
002c2626-e984-459b-b96e-f66b9bf1c8d4,Male,19,1500,39,Kyiv
0145193c-cf85-436e-92cc-17cb5b0d04eb,Male,21,1500,81,Brovary
01eac1fb-42ac-4ad4-afd6-fe01d3e2dcf5,Female,20,1600,6,Kyiv
03020226-ebdd-49c3-a545-1d2c01a91620,Female,23,1600,77,Boryspil
037f2615-2d98-4d9d-ba88-1aa37263dc0e,Female,31,1700,40,Kyiv
0391f9c8-ce5d-43f2-88cd-bf4b8a6673a4,Female,22,1700,76,Boyarka
045e6cd9-0bd9-4b88-808b-10c5a4a13d0d,Female,35,1800,6,Hostomel
04e44f80-9f4e-4fc9-a45c-a81097d07a02,Female,23,1800,94,Kyiv
0602013d-f63b-4a5a-b212-19a5562ad344,Male,64,1900,3,Bucha
07065bc8-5d9c-4177-82f9-f5e9b64444f1,Female,30,1900,72,Kyiv
07a005e9-45b1-446b-a374-c8490f7c5dfa,Male,67,1900,14,Kyiv
0818064c-782b-4b0e-9ceb-1517653713f9,Female,35,1900,99,Boryspil
08508316-a3be-4bcd-b6b7-91145174a8ba,Female,58,2000,15,Irpin
08e4165c-0426-4c44-8848-23876ee1b070,Female,24,2000,77,Vyshneve
09bffaf1-15ef-465d-9204-22e5f16c6f6e,Male,37,2000,13,Hostomel
09c9ad28-738f-4e6c-b61b-6eda53404915,Male,22,2000,79,Kyiv
0a0ad13a-2fac-484f-b54c-9607340f0524,Female,35,2100,35,Boryspil
0ce0c94e-d220-46cd-833a-2f864ad1f56f,Male,20,2100,66,Kyiv
0d88c95d-0f2f-4e4b-98c4-427c91125f7d,Male,52,2300,29,Boryspil
0e6164db-1030-47a5-bcc2-dfea819668af,Female,35,2300,98,Kyiv
0f4490c6-673c-4a29-a1fa-59dfebeb7714,Male,35,2400,35,Hostomel
0f6160e6-f9ce-457b-a231-46a0f7cd3a22,Male,25,2400,73,Kyiv
0f929cf8-ca95-466b-8367-556d34014143,Female,46,2500,5,Irpin
0fe1c5e0-3b44-42ed-b303-176832c3066d,Male,31,2500,73,Kyiv
10bf93a6-29de-4f41-afd0-e62610ac2068,Female,54,2800,14,Boryspil
10ebe8a4-35a8-49bb-910f-0f3a06a0b9b2,Male,22,2000,29,Kyiv
